"|","|__startDate","|__endDate","|__rate","stockName"
"last3","6/20/2016","10/14/2016","-0.17213114754098358",""
"1","11/30/2015","9/21/2016","1.237006237006237","1225 福懋油"
"2","11/20/2015","9/21/2016","1.2277432712215322",""
"3","11/19/2015","9/21/2016","1.2277432712215322",""
"last1","3/21/2016","4/29/2016","-0.10810810810810806",""
"last2","3/21/2016","4/28/2016","-0.10210210210210206",""
"last3","3/21/2016","3/23/2016","-0.09909909909909902",""
"1","11/11/2015","3/7/2016","0.1327077747989277","1227 佳格"
"2","11/13/2015","3/7/2016","0.12967914438502678",""
"3","11/11/2015","8/10/2016","0.126005361930295",""
"last1","3/7/2016","8/19/2016","-0.10532544378698232",""
"last2","3/7/2016","8/22/2016","-0.10532544378698232",""
"last3","3/7/2016","3/29/2016","-0.10295857988165684",""
"1","1/27/2016","8/19/2016","0.21195652173913057","1229 聯華"
"2","1/26/2016","8/19/2016","0.21195652173913057",""
"3","1/21/2016","8/19/2016","0.2086720867208673",""
"last1","8/19/2016","9/2/2016","-0.07399103139013462",""
"last2","8/19/2016","9/13/2016","-0.07399103139013462",""
"last3","8/17/2016","9/2/2016","-0.06981981981981986",""
"1","1/7/2016","8/5/2016","0.2324723247232471","1231 聯華食"
"2","12/14/2015","8/5/2016","0.2279411764705882",""
"3","11/11/2015","8/5/2016","0.22568807339449537",""
"last1","8/5/2016","9/14/2016","-0.13173652694610774",""
"last2","8/5/2016","10/14/2016","-0.13173652694610774",""
"last3","8/5/2016","10/13/2016","-0.1287425149700598",""
"1","1/15/2016","10/5/2016","0.19781718963165076","1232 大統益"
"2","1/12/2016","10/5/2016","0.1961852861035421",""
"3","1/15/2016","10/6/2016","0.19372442019099595",""
"last1","10/5/2016","10/18/2016","-0.04897494305239177",""
"last2","7/4/2016","7/14/2016","-0.048721071863581",""
"last3","7/4/2016","7/13/2016","-0.04750304506699137",""
"1","1/18/2016","3/10/2016","0.12181303116147321","1233 天仁"
"2","1/15/2016","3/10/2016","0.12181303116147321",""
"3","1/18/2016","3/7/2016","0.12181303116147321",""
"last1","11/9/2015","1/15/2016","-0.0925449871465296",""
"last2","11/9/2015","1/18/2016","-0.0925449871465296",""
"last3","11/9/2015","1/6/2016","-0.08997429305912596",""
"1","12/15/2015","3/1/2016","0.17230273752012876","1234 黑松"
"2","12/16/2015","3/1/2016","0.17041800643086807",""
"3","12/29/2015","3/1/2016","0.16666666666666666",""
"last1","3/1/2016","5/24/2016","-0.16346153846153844",""
"last2","3/1/2016","5/20/2016","-0.16071428571428567",""
"last3","3/1/2016","5/23/2016","-0.15934065934065927",""
